Crime_ID,Date,Year,City,State,Crime_Category,Crime_Type,Severity,Cases_Reported,Case_Status
CR00054,2026-08-18,2026,Raipur,Chhattisgarh,Cyber,UPI Fraud,Medium,168,Open
CR00055,2023-10-02,2023,Raipur,Chhattisgarh,Violent,Assault,Low,171,Closed
CR00056,2021-12-25,2021,Patna,Bihar,Traffic,Drunk Driving,High,143,Under Investigation
CR00057,2026-05-11,2026,Panaji,Goa,Cyber,UPI Fraud,Low,493,Under Investigation
CR00058,2022-02-22,2022,Kolkata,West Bengal,Traffic,Drunk Driving,High,71,Under Investigation
CR00059,2026-02-18,2026,Nashik,Maharashtra,Traffic,Hit and Run,Medium,181,Under Investigation
CR00060,2026-07-08,2026,Chennai,Tamil Nadu,Property,Theft,High,450,Open
CR00061,2024-01-04,2024,Kolkata,West Bengal,Women,Harassment,Medium,247,Under Investigation
CR00062,2020-09-04,2020,Vijayawada,Andhra Pradesh,Property,Theft,Low,424,Under Investigation
CR00063,2023-07-17,2023,Surat,Gujarat,Property,Theft,Medium,302,Chargesheet Filed
CR00064,2020-01-26,2020,Udaipur,Rajasthan,Violent,Robbery,Low,463,Chargesheet Filed
CR00065,2022-06-12,2022,Madurai,Tamil Nadu,Property,Burglary,High,160,Chargesheet Filed
CR00066,2021-06-17,2021,Visakhapatnam,Andhra Pradesh,Violent,Assault,Medium,145,Chargesheet Filed
CR00067,2022-11-10,2022,Siliguri,West Bengal,Violent,Assault,Low,19,Chargesheet Filed
CR00068,2024-10-06,2024,Vijayawada,Andhra Pradesh,Violent,Robbery,Low,281,Open
CR00069,2025-05-08,2025,Thiruvananthapuram,Kerala,Traffic,Hit and Run,High,24,Open
CR00070,2022-09-11,2022,Kanpur,Uttar Pradesh,Traffic,Drunk Driving,Medium,453,Under Investigation
CR00071,2024-04-16,2024,Guwahati,Assam,Violent,Assault,Medium,457,Open
CR00072,2024-01-14,2024,Lucknow,Uttar Pradesh,Property,Burglary,Low,368,Under Investigation
CR00073,2024-10-16,2024,Patna,Bihar,Women,Stalking,Medium,320,Chargesheet Filed
CR00074,2022-06-22,2022,Surat,Gujarat,Women,Harassment,Medium,330,Open
CR00075,2021-09-17,2021,Chennai,Tamil Nadu,Violent,Assault,Low,251,Chargesheet Filed
CR00076,2025-02-21,2025,Bhubaneswar,Odisha,Cyber,Phishing,Medium,375,Open
CR00077,2022-07-24,2022,Guwahati,Assam,Women,Stalking,Medium,165,Chargesheet Filed
CR00078,2020-02-13,2020,Kochi,Kerala,Violent,Assault,Low,275,Chargesheet Filed
CR00079,2023-04-23,2023,Gurugram,Haryana,Cyber,Phishing,High,283,Open
CR00080,2024-08-31,2024,Varanasi,Uttar Pradesh,Cyber,Phishing,Low,264,Open
CR00081,2026-06-18,2026,Dehradun,Uttarakhand,Traffic,Hit and Run,Low,438,Closed
CR00082,2023-10-29,2023,Kochi,Kerala,Women,Harassment,Medium,325,Open
CR00083,2025-09-17,2025,Guwahati,Assam,Women,Harassment,Low,466,Closed
CR00084,2020-04-09,2020,Mysuru,Karnataka,Property,Burglary,High,185,Closed
CR00085,2020-04-27,2020,Srinagar,J&K,Traffic,Drunk Driving,High,236,Open
CR00086,2021-02-11,2021,Indore,Madhya Pradesh,Property,Burglary,High,397,Closed
CR00087,2026-06-12,2026,Vijayawada,Andhra Pradesh,Cyber,UPI Fraud,Low,486,Chargesheet Filed
CR00088,2022-09-12,2022,Kochi,Kerala,Property,Burglary,Medium,17,Closed
CR00089,2025-02-15,2025,Surat,Gujarat,Traffic,Drunk Driving,Medium,143,Under Investigation
CR00090,2023-05-20,2023,Jaipur,Rajasthan,Violent,Robbery,Medium,247,Chargesheet Filed
CR00091,2024-07-03,2024,Panaji,Goa,Cyber,UPI Fraud,Low,438,Under Investigation
CR00092,2023-03-08,2023,Dehradun,Uttarakhand,Cyber,UPI Fraud,High,345,Closed
CR00093,2026-12-20,2026,Bhubaneswar,Odisha,Cyber,UPI Fraud,High,41,Under Investigation
CR00094,2022-09-04,2022,Chennai,Tamil Nadu,Property,Theft,Medium,96,Chargesheet Filed
CR00095,2026-08-11,2026,Mumbai,Maharashtra,Property,Theft,High,152,Open
CR00096,2023-05-04,2023,Jammu,J&K,Cyber,UPI Fraud,High,379,Chargesheet Filed
CR00097,2021-01-18,2021,Delhi,Delhi,Violent,Assault,High,255,Open
CR00098,2024-12-03,2024,Mysuru,Karnataka,Women,Stalking,High,398,Closed
CR00099,2023-06-23,2023,Noida,Uttar Pradesh,Traffic,Hit and Run,Medium,267,Chargesheet Filed
CR00100,2021-12-02,2021,Kochi,Kerala,Women,Stalking,Low,191,Open
CR00101,2022-07-11,2022,Amritsar,Punjab,Violent,Assault,Low,245,Under Investigation
CR00102,2023-05-01,2023,Mysuru,Karnataka,Women,Harassment,High,379,Under Investigation
CR00103,2021-02-24,2021,Shimla,Himachal Pradesh,Women,Stalking,Low,288,Chargesheet Filed
CR00104,2024-10-20,2024,Panaji,Goa,Violent,Assault,High,402,Closed
CR00105,2026-12-29,2026,Chennai,Tamil Nadu,Women,Harassment,Low,172,Closed
CR00106,2022-05-27,2022,Nashik,Maharashtra,Cyber,Phishing,Medium,243,Chargesheet Filed
CR00107,2026-12-18,2026,Jabalpur,Madhya Pradesh,Cyber,UPI Fraud,High,144,Chargesheet Filed
CR00108,2024-02-02,2024,Lucknow,Uttar Pradesh,Violent,Robbery,High,51,Closed
CR00109,2025-01-31,2025,Pune,Maharashtra,Traffic,Hit and Run,Low,415,Chargesheet Filed
CR00110,2026-01-01,2026,Jammu,J&K,Cyber,UPI Fraud,Medium,127,Under Investigation
CR00111,2026-07-21,2026,Delhi,Delhi,Property,Theft,Medium,321,Open
CR00112,2023-01-22,2023,Pune,Maharashtra,Cyber,Phishing,Low,278,Chargesheet Filed
CR00113,2025-02-06,2025,Ranchi,Jharkhand,Traffic,Hit and Run,High,26,Under Investigation
CR00114,2021-10-26,2021,Coimbatore,Tamil Nadu,Traffic,Hit and Run,Medium,130,Chargesheet Filed
CR00115,2024-03-07,2024,Pune,Maharashtra,Traffic,Drunk Driving,High,172,Chargesheet Filed
CR00116,2020-09-23,2020,Coimbatore,Tamil Nadu,Women,Stalking,High,144,Open
CR00117,2024-07-19,2024,Dhanbad,Jharkhand,Cyber,UPI Fraud,Medium,491,Under Investigation
CR00118,2020-04-24,2020,Aurangabad,Maharashtra,Women,Stalking,Low,384,Closed
CR00119,2020-09-23,2020,Hyderabad,Telangana,Traffic,Hit and Run,High,402,Open
CR00120,2025-07-24,2025,Jodhpur,Rajasthan,Violent,Assault,Medium,297,Under Investigation
CR00121,2023-12-08,2023,Nagpur,Maharashtra,Women,Stalking,Medium,391,Under Investigation
CR00122,2021-01-18,2021,Srinagar,J&K,Violent,Robbery,High,367,Under Investigation
CR00123,2026-05-07,2026,Mumbai,Maharashtra,Violent,Assault,Low,239,Under Investigation
CR00124,2020-05-10,2020,Agra,Uttar Pradesh,Cyber,UPI Fraud,Medium,115,Open
CR00125,2021-08-13,2021,Panaji,Goa,Women,Harassment,High,490,Closed
CR00126,2025-06-28,2025,Surat,Gujarat,Women,Harassment,Low,140,Chargesheet Filed
CR00127,2022-05-31,2022,Hyderabad,Telangana,Cyber,UPI Fraud,Medium,413,Under Investigation
CR00128,2026-07-12,2026,Shimla,Himachal Pradesh,Cyber,UPI Fraud,Low,278,Open
CR00129,2024-08-18,2024,Salem,Tamil Nadu,Cyber,Phishing,High,249,Open
CR00130,2021-07-09,2021,Udaipur,Rajasthan,Women,Harassment,Low,230,Chargesheet Filed
CR00131,2025-07-02,2025,Mysuru,Karnataka,Cyber,Phishing,High,137,Open
CR00132,2020-11-18,2020,Delhi,Delhi,Traffic,Drunk Driving,Low,17,Open
CR00133,2026-02-19,2026,Hyderabad,Telangana,Violent,Assault,High,54,Closed
CR00134,2020-02-08,2020,Guntur,Andhra Pradesh,Property,Burglary,High,278,Closed
CR00135,2024-01-08,2024,Thiruvananthapuram,Kerala,Property,Theft,Low,187,Closed
CR00136,2022-03-29,2022,Panaji,Goa,Cyber,UPI Fraud,Medium,163,Under Investigation
CR00137,2020-11-08,2020,Jaipur,Rajasthan,Traffic,Drunk Driving,Low,161,Open
CR00138,2025-09-27,2025,Srinagar,J&K,Cyber,UPI Fraud,High,113,Closed
CR00139,2024-06-15,2024,Kanpur,Uttar Pradesh,Women,Stalking,Low,14,Open
CR00140,2021-01-27,2021,Vadodara,Gujarat,Women,Harassment,Low,411,Open
CR00141,2026-09-11,2026,Dehradun,Uttarakhand,Property,Burglary,Medium,398,Under Investigation
CR00142,2026-09-23,2026,Kochi,Kerala,Violent,Robbery,High,263,Chargesheet Filed
CR00143,2025-08-21,2025,Thiruvananthapuram,Kerala,Women,Stalking,High,61,Under Investigation
CR00144,2021-02-07,2021,Gurugram,Haryana,Women,Harassment,Medium,390,Under Investigation
CR00145,2022-10-02,2022,Bhubaneswar,Odisha,Cyber,UPI Fraud,Medium,410,Chargesheet Filed
CR00146,2025-07-29,2025,Kolkata,West Bengal,Women,Harassment,High,489,Open
CR00147,2021-09-19,2021,Indore,Madhya Pradesh,Cyber,Phishing,High,249,Closed
CR00148,2022-07-23,2022,Aurangabad,Maharashtra,Violent,Robbery,Low,330,Open
CR00149,2021-10-01,2021,Kochi,Kerala,Cyber,UPI Fraud,High,487,Closed
CR00150,2020-11-25,2020,Pune,Maharashtra,Cyber,Phishing,High,435,Closed
CR00151,2021-09-11,2021,Varanasi,Uttar Pradesh,Property,Theft,High,287,Under Investigation
CR00152,2026-11-18,2026,Faridabad,Haryana,Violent,Robbery,Low,343,Chargesheet Filed
CR00153,2021-10-12,2021,Jaipur,Rajasthan,Traffic,Hit and Run,High,141,Closed
CR00154,2025-07-25,2025,Kanpur,Uttar Pradesh,Property,Burglary,High,54,Open
CR00155,2020-06-16,2020,Mysuru,Karnataka,Violent,Assault,Medium,286,Closed
CR00156,2024-03-06,2024,Gurugram,Haryana,Cyber,UPI Fraud,Medium,444,Closed
CR00157,2022-08-15,2022,Udaipur,Rajasthan,Violent,Robbery,Medium,491,Closed
CR00158,2020-02-09,2020,Visakhapatnam,Andhra Pradesh,Cyber,UPI Fraud,Low,224,Under Investigation
CR00159,2021-03-07,2021,Kochi,Kerala,Cyber,UPI Fraud,Low,47,Closed
CR00160,2025-12-09,2025,Ranchi,Jharkhand,Traffic,Hit and Run,Low,243,Chargesheet Filed
CR00161,2020-08-26,2020,Mumbai,Maharashtra,Traffic,Drunk Driving,Medium,360,Under Investigation
CR00162,2023-11-26,2023,Shimla,Himachal Pradesh,Women,Stalking,Low,119,Chargesheet Filed
CR00163,2022-10-15,2022,Surat,Gujarat,Cyber,Phishing,Medium,405,Closed
CR00164,2024-07-26,2024,Guwahati,Assam,Cyber,UPI Fraud,Medium,407,Closed
CR00165,2026-01-22,2026,Bhubaneswar,Odisha,Property,Burglary,Low,337,Under Investigation
CR00166,2026-05-07,2026,Salem,Tamil Nadu,Women,Harassment,Low,54,Under Investigation
CR00167,2020-08-10,2020,Kochi,Kerala,Violent,Robbery,High,434,Chargesheet Filed
CR00168,2026-01-16,2026,Thiruvananthapuram,Kerala,Women,Harassment,Low,97,Closed
CR00169,2025-01-01,2025,Mumbai,Maharashtra,Violent,Assault,High,265,Under Investigation
CR00170,2020-06-09,2020,Panaji,Goa,Violent,Robbery,High,417,Under Investigation
CR00171,2022-08-03,2022,Mumbai,Maharashtra,Violent,Assault,Medium,133,Under Investigation
CR00172,2024-05-23,2024,Nagpur,Maharashtra,Cyber,UPI Fraud,Low,194,Open
CR00173,2026-12-15,2026,Srinagar,J&K,Cyber,UPI Fraud,Medium,70,Open
CR00174,2025-06-28,2025,Amritsar,Punjab,Property,Burglary,High,475,Under Investigation
CR00175,2023-04-29,2023,Nashik,Maharashtra,Cyber,UPI Fraud,Low,289,Closed
CR00176,2023-11-27,2023,Vijayawada,Andhra Pradesh,Traffic,Drunk Driving,Medium,156,Closed
CR00177,2023-11-24,2023,Thiruvananthapuram,Kerala,Property,Theft,High,329,Open
CR00178,2026-08-21,2026,Madurai,Tamil Nadu,Traffic,Drunk Driving,High,89,Open
CR00179,2024-03-07,2024,Pune,Maharashtra,Property,Burglary,Low,291,Chargesheet Filed
CR00180,2021-12-02,2021,Kochi,Kerala,Violent,Assault,Medium,189,Under Investigation
CR00181,2020-07-25,2020,Jammu,J&K,Traffic,Drunk Driving,Medium,286,Open
CR00182,2023-10-31,2023,Tiruchirappalli,Tamil Nadu,Traffic,Drunk Driving,Low,251,Under Investigation
CR00183,2023-04-06,2023,Noida,Uttar Pradesh,Women,Harassment,Low,456,Chargesheet Filed
CR00184,2022-10-10,2022,Lucknow,Uttar Pradesh,Property,Burglary,High,328,Closed
CR00185,2026-02-18,2026,Udaipur,Rajasthan,Women,Stalking,High,381,Closed
CR00186,2023-10-28,2023,Guntur,Andhra Pradesh,Violent,Assault,Low,53,Chargesheet Filed
CR00187,2021-07-26,2021,Udaipur,Rajasthan,Property,Theft,High,455,Open
CR00188,2024-01-29,2024,Faridabad,Haryana,Women,Stalking,Medium,193,Open
CR00189,2020-02-28,2020,Pune,Maharashtra,Cyber,UPI Fraud,Medium,88,Under Investigation
CR00190,2020-01-25,2020,Visakhapatnam,Andhra Pradesh,Traffic,Hit and Run,Low,227,Closed
CR00191,2024-05-09,2024,Tiruchirappalli,Tamil Nadu,Violent,Robbery,Medium,83,Closed
CR00192,2024-07-18,2024,Jodhpur,Rajasthan,Women,Harassment,High,276,Chargesheet Filed
CR00193,2024-09-09,2024,Amritsar,Punjab,Violent,Robbery,Low,488,Open
CR00194,2026-06-30,2026,Mumbai,Maharashtra,Cyber,Phishing,Low,388,Open
CR00195,2020-06-10,2020,Ahmedabad,Gujarat,Women,Stalking,Low,384,Open
CR00196,2020-05-15,2020,Jaipur,Rajasthan,Women,Stalking,Low,455,Open
CR00197,2026-02-23,2026,Srinagar,J&K,Women,Stalking,High,451,Closed
CR00198,2023-06-13,2023,Vijayawada,Andhra Pradesh,Women,Harassment,High,289,Chargesheet Filed
CR00199,2024-12-28,2024,Bhopal,Madhya Pradesh,Cyber,Phishing,Medium,350,Chargesheet Filed
CR00200,2023-12-02,2023,Srinagar,J&K,Women,Stalking,Low,410,Open
CR00201,2025-12-01,2025,Tiruchirappalli,Tamil Nadu,Violent,Assault,Medium,34,Chargesheet Filed
CR00202,2021-09-16,2021,Noida,Uttar Pradesh,Women,Harassment,Medium,431,Closed
CR00203,2020-10-23,2020,Mumbai,Maharashtra,Cyber,UPI Fraud,High,325,Chargesheet Filed
CR00204,2025-05-06,2025,Kochi,Kerala,Property,Theft,Medium,74,Open
CR00205,2026-03-01,2026,Dhanbad,Jharkhand,Property,Burglary,Low,172,Open
CR00206,2026-12-23,2026,Jodhpur,Rajasthan,Cyber,UPI Fraud,High,112,Chargesheet Filed
CR00207,2022-04-06,2022,Agra,Uttar Pradesh,Violent,Assault,High,9,Open
CR00208,2026-03-31,2026,Varanasi,Uttar Pradesh,Traffic,Drunk Driving,Low,372,Open
CR00209,2023-07-09,2023,Vadodara,Gujarat,Violent,Robbery,Low,376,Closed
CR00210,2021-11-20,2021,Tiruchirappalli,Tamil Nadu,Violent,Assault,High,347,Under Investigation
CR00211,2024-09-18,2024,Kochi,Kerala,Cyber,Phishing,High,463,Under Investigation
CR00212,2020-07-29,2020,Madurai,Tamil Nadu,Cyber,UPI Fraud,Medium,415,Closed
CR00213,2022-06-29,2022,Srinagar,J&K,Property,Burglary,High,354,Chargesheet Filed
CR00214,2020-08-14,2020,Ludhiana,Punjab,Violent,Assault,High,188,Closed
CR00215,2026-03-06,2026,Dhanbad,Jharkhand,Traffic,Drunk Driving,Medium,167,Open
CR00216,2022-08-26,2022,Pune,Maharashtra,Traffic,Drunk Driving,High,222,Under Investigation
CR00217,2023-10-26,2023,Ludhiana,Punjab,Women,Stalking,Medium,91,Under Investigation
CR00218,2021-08-06,2021,Mysuru,Karnataka,Traffic,Hit and Run,Low,235,Open
CR00219,2026-01-04,2026,Aurangabad,Maharashtra,Cyber,UPI Fraud,Low,241,Chargesheet Filed
CR00220,2022-07-15,2022,Ranchi,Jharkhand,Cyber,Phishing,Medium,15,Chargesheet Filed
CR00221,2026-05-02,2026,Jabalpur,Madhya Pradesh,Violent,Robbery,High,148,Open
CR00222,2021-01-23,2021,Panaji,Goa,Violent,Robbery,High,408,Under Investigation
CR00223,2021-11-14,2021,Ranchi,Jharkhand,Cyber,UPI Fraud,Medium,437,Closed
CR00224,2023-10-05,2023,Surat,Gujarat,Property,Burglary,Medium,54,Under Investigation
CR00225,2025-02-14,2025,Tiruchirappalli,Tamil Nadu,Women,Harassment,High,308,Chargesheet Filed
CR00226,2021-04-04,2021,Bhubaneswar,Odisha,Women,Stalking,Low,57,Under Investigation
CR00227,2023-08-15,2023,Thiruvananthapuram,Kerala,Women,Harassment,Medium,130,Closed
CR00228,2020-11-26,2020,Panaji,Goa,Women,Stalking,Low,110,Under Investigation
CR00229,2025-04-10,2025,Ludhiana,Punjab,Property,Theft,High,144,Closed
CR00230,2023-01-20,2023,Ranchi,Jharkhand,Women,Stalking,Low,189,Open
CR00231,2023-01-08,2023,Faridabad,Haryana,Property,Burglary,Medium,177,Under Investigation
CR00232,2020-10-08,2020,Amritsar,Punjab,Property,Theft,Low,286,Under Investigation
CR00233,2021-04-09,2021,Gurugram,Haryana,Traffic,Hit and Run,High,107,Open
CR00234,2025-11-19,2025,Jabalpur,Madhya Pradesh,Traffic,Drunk Driving,Medium,347,Closed
CR00235,2025-07-09,2025,Kanpur,Uttar Pradesh,Women,Harassment,Medium,283,Closed
CR00236,2021-04-27,2021,Guntur,Andhra Pradesh,Property,Theft,High,195,Under Investigation
CR00237,2021-09-18,2021,Mumbai,Maharashtra,Traffic,Hit and Run,Low,472,Chargesheet Filed
CR00238,2023-07-26,2023,Visakhapatnam,Andhra Pradesh,Property,Theft,High,304,Open
CR00239,2020-04-10,2020,Ahmedabad,Gujarat,Property,Theft,High,64,Closed
CR00240,2023-06-02,2023,Madurai,Tamil Nadu,Traffic,Drunk Driving,Medium,297,Closed
CR00241,2023-10-18,2023,Ludhiana,Punjab,Violent,Robbery,Low,336,Closed
CR00242,2021-01-20,2021,Delhi,Delhi,Women,Stalking,Medium,69,Chargesheet Filed
CR00243,2020-01-10,2020,Surat,Gujarat,Property,Theft,Medium,342,Chargesheet Filed
CR00244,2022-07-08,2022,Pune,Maharashtra,Traffic,Hit and Run,High,87,Chargesheet Filed
CR00245,2026-12-05,2026,Vadodara,Gujarat,Traffic,Hit and Run,High,216,Chargesheet Filed
CR00246,2021-02-23,2021,Hyderabad,Telangana,Women,Harassment,High,409,Open
CR00247,2024-07-01,2024,Ludhiana,Punjab,Property,Theft,High,76,Under Investigation
CR00248,2020-07-14,2020,Delhi,Delhi,Cyber,UPI Fraud,Low,276,Chargesheet Filed
CR00249,2023-11-01,2023,Salem,Tamil Nadu,Property,Theft,Medium,476,Chargesheet Filed
CR00250,2020-10-22,2020,Kolkata,West Bengal,Cyber,Phishing,Medium,391,Under Investigation
CR00251,2021-07-10,2021,Vijayawada,Andhra Pradesh,Property,Burglary,High,387,Chargesheet Filed
CR00252,2025-02-09,2025,Guntur,Andhra Pradesh,Traffic,Drunk Driving,Medium,151,Open
CR00253,2025-05-01,2025,Guntur,Andhra Pradesh,Women,Harassment,High,368,Open
CR00254,2026-10-15,2026,Kochi,Kerala,Violent,Assault,Medium,332,Open
CR00255,2025-04-19,2025,Udaipur,Rajasthan,Property,Theft,High,107,Chargesheet Filed
CR00256,2024-07-15,2024,Kolkata,West Bengal,Traffic,Drunk Driving,Medium,298,Open
CR00257,2025-11-16,2025,Mumbai,Maharashtra,Property,Theft,High,467,Under Investigation
CR00258,2024-09-19,2024,Patna,Bihar,Traffic,Hit and Run,High,88,Chargesheet Filed
CR00259,2020-03-01,2020,Jaipur,Rajasthan,Women,Stalking,Medium,109,Open
CR00260,2020-01-21,2020,Coimbatore,Tamil Nadu,Women,Stalking,High,455,Under Investigation
CR00261,2025-09-14,2025,Mysuru,Karnataka,Cyber,Phishing,High,357,Open
CR00262,2022-02-07,2022,Mumbai,Maharashtra,Cyber,UPI Fraud,High,387,Open
CR00263,2023-12-24,2023,Bengaluru,Karnataka,Cyber,UPI Fraud,Low,195,Closed
CR00264,2022-02-07,2022,Madurai,Tamil Nadu,Women,Harassment,Low,37,Under Investigation
CR00265,2023-11-04,2023,Ludhiana,Punjab,Property,Burglary,High,187,Closed
CR00266,2021-01-19,2021,Aurangabad,Maharashtra,Traffic,Drunk Driving,High,217,Chargesheet Filed
CR00267,2024-06-08,2024,Gurugram,Haryana,Property,Burglary,Medium,209,Closed
CR00268,2025-07-05,2025,Kolkata,West Bengal,Women,Stalking,Medium,165,Chargesheet Filed
CR00269,2026-08-27,2026,Delhi,Delhi,Traffic,Hit and Run,Medium,150,Chargesheet Filed
CR00270,2020-01-08,2020,Udaipur,Rajasthan,Cyber,UPI Fraud,Low,10,Closed
CR00271,2025-11-23,2025,Jaipur,Rajasthan,Property,Theft,Low,417,Under Investigation
CR00272,2020-08-24,2020,Bhopal,Madhya Pradesh,Cyber,UPI Fraud,Low,107,Closed
CR00273,2022-12-25,2022,Vijayawada,Andhra Pradesh,Women,Stalking,Low,470,Under Investigation
CR00274,2025-03-29,2025,Raipur,Chhattisgarh,Violent,Assault,Low,481,Chargesheet Filed
CR00275,2021-01-02,2021,Chennai,Tamil Nadu,Women,Harassment,Medium,391,Under Investigation
CR00276,2022-08-21,2022,Faridabad,Haryana,Property,Theft,High,443,Under Investigation
CR00277,2024-05-17,2024,Amritsar,Punjab,Traffic,Hit and Run,Medium,305,Open
CR00278,2023-04-06,2023,Jammu,J&K,Property,Theft,Low,99,Chargesheet Filed
CR00279,2026-03-26,2026,Nashik,Maharashtra,Traffic,Hit and Run,High,499,Chargesheet Filed
CR00280,2022-05-14,2022,Jabalpur,Madhya Pradesh,Violent,Robbery,Medium,363,Open
CR00281,2021-12-30,2021,Vadodara,Gujarat,Cyber,Phishing,Medium,17,Closed
CR00282,2022-01-04,2022,Aurangabad,Maharashtra,Property,Theft,High,66,Closed
CR00283,2022-08-31,2022,Agra,Uttar Pradesh,Violent,Robbery,High,137,Under Investigation
CR00284,2021-05-19,2021,Varanasi,Uttar Pradesh,Property,Theft,High,387,Under Investigation
CR00285,2021-11-25,2021,Tiruchirappalli,Tamil Nadu,Violent,Robbery,High,266,Closed
CR00286,2025-03-23,2025,Jaipur,Rajasthan,Women,Stalking,High,242,Under Investigation
